title,author,description,criteria,amount,location,supported_country,deadline,study,inclusion,number_of_awards,link
MPOWER Women in STEM Scholarship,MPOWER Financing,"Scholarships awarded annually to female international/DACA students who are currently enrolled or accepted to study full-time in a STEM degree program at a program MPOWER supports in the United States or Canada.

Awards:

Grand Prize: $6,000
Honorable Mentions (2): $2,000 and $1,000

Eligibility Requirements:

- Be accepted at, or enrolled in, a full-time degree program at a U.S. or Canadian school that MPOWER supports, and
- Be an international student allowed to legally study in the U.S. or Canada, as applicable:

For study in the U.S., this means that the applicant meets one of these criteria:
- Has a valid visa that permits study in the U.S.
- Is protected under the Deferred Action for Childhood Arrivals (DACA)
- Is a U.S. permanent resident (Green Card holder)

For study in Canada, this means the applicant meets one of these criteria:
- Is a Canadian permanent resident
- Has a valid Canadian study permit

We have created this scholarship specifically for international and DACA students. Therefore, U.S. citizens wishing to study in the U.S. and Canadian citizens wishing to study in Canada are not eligible for this scholarship.","STEM includes any degree programs related to Science, Technology, Engineering, and Mathematics.","$6,000",Canada and United States,Unrestricted,December 31,Canada and United States,,3,https://www.internationalscholarships.com/scholarships/3589/
Advice for Your Younger Self Study Abroad Scholarship,MPOWER Financing,"The MPOWER October scholarship is all about the essay! We’d love to hear the advice you would give to your younger self. What would you tell yourself before studying abroad? Is there anything you would change or do differently? To be eligible, you must have a valid student visa, and be enrolled or accepted at one of the 350+ universities in the U.S. and Canada MPOWER supports.","Grand Prize: $1,000
Honorable Mentions (2): $500

U.S. citizen or PR students studying in the U.S are not eligible.
Canadian students studying in Canada are not eligible.","$1,000",Canada and United States,Unrestricted,October 31,Canada and United States,,3,https://www.internationalscholarships.com/scholarships/3625/
Creative Biolabs Scholarship Program,Creative Biolabs,"With an effort to further support their research and higher education in the medical and science-related fields, Creative Biolabs is proud to announce the Scholarship Program for awarding $1,000 to an outstanding college student.","Eligibility:
1. Enrolled as a freshman, undergraduate, graduate, or Ph.D. student at an accredited college or university.
2. Major in a science-related field such as Biology, Biochemistry, Chemistry, and Molecular Biology.
3. Earn a cumulative average grade of a B (3.0 GPA).","$1,000",Unrestricted,Unrestricted,September 30,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/3619/
Mechatronics Engineering in Korea Postdoc Opportunity,National Research Foundation of Korea,"SMALL is inviting applicants for one postdoc(available now) at School of Mechatronics Engineering in Korea University of Technology and Education(Koreatech). The motivated candidates should be able to work ASAP.  The postdoc and RAs will work in exciting MEMS and Acoustic Sensors funded from Korean government and Koreatech. The postdoc in EE or closely relevant fields is must.  Having publications and research experiences must.

For more details for the postdoc position, please contact me  ASAP with the contact details below.",,"36,000,000 Korea won/ year including tax and other benefits","Korea, South",Unrestricted,ASAP,"Korea, South",,1,https://www.internationalscholarships.com/scholarships/3609/
Perseverance Scholarship,Ketonia,"The annual scholarship is aimed at helping students who have shown great character by overcoming difficulties in their lives. 

The Perseverance Scholarship is open to current undergraduates and high school seniors. Ketonia will award a $1,000 scholarship to the winner. 
Ketonia believes that promoting perseverance and courage in the face of challenges will play an important role in shaping the world's future. In addition, by highlighting their strength, we can encourage them to push through any difficult times in the future. Through the Perseverance Scholarship, Ketonia hopes to encourage students to embrace life's challenges.

To apply, students must write an essay describing a time they went through a difficult time and how it made them stronger. Then, they must submit proof of enrollment, a resume, and a reference letter. Applications are due by November 18. The winner will be announced on January 31.",,$1000 USD,United States,Unrestricted,November 18,United States,,1,https://www.internationalscholarships.com/scholarships/3617/
Go Global MBA Scholarship,educations.com,"educations.com is offering an MBA scholarship of up to $7,000 to help cover your tuition fees and get you one step closer to the next step in your career. This scholarship is open to students from any country who will be studying an MBA degree abroad at a university or business school.","To apply for this scholarship:
*You must have applied (or will apply) for an MBA program starting in the fall semester.
*You should have no more than 5 years of relevant professional work experience.
*You must meet the entry requirements for your chosen university or business school, including: (1) holding a valid undergraduate (Bachelor's) degree and (2) meeting the language requirements for the program.
*You must hold or be eligible to apply for a relevant study visa (if applicable).
*You must be studying abroad in a country where you do not hold citizenship or that you do not currently reside in (unless currently studying abroad). You can also apply if you’re studying an MBA online. The MBA program can be studied via distance learning from an institute located in a country of which you are not a citizen or permanent resident.","$7,000",Unrestricted,Unrestricted,25 April,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/3610/
Travel Video Contest,InternationalStudent.com,"The Travel Video Contest is back for its 16th year and this year’s theme is ""community"".  

In a creative, engaging video, show how your community has impacted or influenced you. 

For example, your family or your community at home, your new community during your international education, an online community or any group that you consider your community of people. We are looking for creativity, video quality, uniqueness and personality in your video. 

Be sure to carefully review how to enter the contest and its rules and regulations and submit a contest entry form by the deadline to enter!",,"$4,000 USD",Unrestricted,Unrestricted,October 13,Unrestricted,"Available prizes in the video contest include:

First Place Winner: $4,000
Second Place Winner: $500
Third Place Winner: $250
Viewers’ Choice Award Winner: $1,000",4,https://www.internationalscholarships.com/scholarships/3622/
Orangesoft Women in Technology Scholarship Program,Orangesoft,"Orangesoft offers a scholarship dedicated to female college or university students pursuing STEM, or other technology-related studies and careers.

To apply for the scholarship, you must meet the following criteria:
- Be a student who is currently studying at or has been accepted to an accredited college or university in the United States.
- Be currently enrolled in a Science, Technology, Engineering, or Mathematics (STEM) degree-granting program OR demonstrate plans to pursue a career in the field of technology after graduation.
- Identify as a woman.
- Have a minimum GPA of 3.0 on a 4.0 scale.

Write an essay on one of the following topics:
01 What challenges do women in tech face? What solutions to these challenges can you propose and why?
02 Why does the IT-sphere need women, and what impact do you believe you could make in the industry?
03 How to inspire other women to choose a tech specialty?
Essay length: approximately 500 words.
Format: fill the Application Form on the website.","The applicants who share their essays with a link to Orangesoft website on an online resource like a student blog on their university’s website, their own website, or a blogging platform such as medium.com will receive higher priority in getting the scholarship.",1000,United States,Unrestricted,October 31,United States,,1,https://www.internationalscholarships.com/scholarships/3615/
Marie Sklodowska-Curie Postdoctoral Fellowships at Fondazione Eni Enrico Mattei,European Commission - Call Marie Sklodowska-Curie Postdoctoral Fellowships,"Marie Sklodowska-Curie Individual Fellowships at Fondazione Eni Enrico Mattei

Internal deadline: August 25th (extended deadline)

Following its long time tradition of successful international post-graduate and doctoral training, FEEM supports Marie Sklodowska-Curie – Postdoctoral European Fellowships applications.
For the current MSCA Postdoctoral European Fellowships call, FEEM is interested in receiving proposals in the area of:
1. Measuring trade-offs and synergies among and between SDGs and targets of the Agenda 2030
2. Carbon prices, commodity prices and financial markets: volatility, co-movements, spillovers and tail-dependence
3. The econometrics of climate change: economic impacts and policy evaluation
4. Credit ratings and ESG factors: a Machine Learning approach to the determinants of credit risk at firms' level
5. Spatial econometric analysis of urban transformation, their socio-economic determinants and the consequences for the environment and the quality of life of urban citizens
6. Micro and/or macroeconomic models to assess the Water-Energy (and Food) nexus in an uncertain framework
7. Decarbonization, renewable resources: microeconomic models for evaluating investments in condition of uncertainty
8. Agent based Models for Environmental Economics and Energy transition
9. Modelling the impact of high VRES penetration, hydrogen and increased frequency of adverse extreme weather events on the European and Italian power and gas systems to define resilient decarbonization strategies
FEEM, as Italian host institution, provides support to individual experienced researchers who meet the requirements under the Horizon Europe Programme. Research proposals entail a period of 12-24 months at FEEM, with reference to the 2021 Call Marie Sklodowska-Curie – Postdoctoral European Fellowships (MSCA-PF-2021).
FEEM offers a truly international and multi-disciplinary workplace. Thanks to a world-wide research network you will be involved in a continuous fruitful exchange of experiences.
Eligibility criteria
1. Candidates must be in possession of PhD and cannot have more than eight years of research experience after PhD, at the time of the deadline of the call (12/10).
2. Eligible researchers can be of any nationality and must not have resided or carried out their main activity in Italy for more than 12 months in the 3 years immediately before the call deadline (12/10).
 Application
If you meet the eligibility criteria and are interested in exploring the opportunities offered by the Marie Sklodowska-Curie Actions to work at FEEM, please submit your application on-line through the FEEM web platform any time before August 25th  (internal extended deadline), sending:
1. a detailed curriculum vitae, including the list of publications;
2. an abstract of the research proposal (max 1 page).
The selected candidates will be supported in the development of their project proposals that must be submitted to the European Commission by October 12th  - h. 17.00 CET.
More information on the Marie Skodowska-Curie Postdoctoral European Fellowships is available on the Funding & tender opportunities Portal.

For more information, please see the link below",,unit cost,Italy,Unrestricted,31 July,Italy,,9,https://www.internationalscholarships.com/scholarships/3597/
The Liberty Ranch Addiction & Mental Health Scholarship,The Liberty Ranch,"As a part of our mission to help those struggling with addiction heal and build a brighter future, the Liberty Ranch is offering the Addiction & Mental Health Scholarship, a $1000 scholarship geared towards individuals who have struggled with mental health challenges, have been impacted by substance abuse or intend to work to in mental health-related fields to destigmatize mental illness and addiction.","Addiction & Mental Health Scholarship Eligibility:
- The Addiction & Mental Health Scholarship is open to all students who have been impacted by mental health challenges and addiction. Individuals pursuing studies focused on destigmatizing addiction and mental illness are also invited to apply.
 - The scholarship is open to high school seniors, undergraduate, and post-graduate level students enrolled or accepted at an accredited college or university.
- Scholarship is open to U.S. citizen and U.S. residents including international students of any nationality.
- Winners of the scholarship must consent to being featured online as awarded scholarship winner.
- Awarded funds must be spent on college tuition, room/board, or other education related expenses.",$1000,United States,Unrestricted,September 30,United States,"How to apply:
- Applicants should apply through the following form.
- The Addiction & Mental Health Scholarship applicants must submit a 500 word personal essay detailing why they should receive the scholarship and how they plan to use their studies to destigmatize mental health, addiction, and/or serve their community. Personal essays should include a description of applicant’s current or intended plan of study.
- Students selected to receive the scholarship will be required to submit documentation demonstrating their enrollment at an accredited college, university or associate program prior to receiving the award.
- Deadline: *Scholarship application date has been extended from July 31 to September 30.*",1+,https://www.internationalscholarships.com/scholarships/3614/
The ZEE €2000 Scholarship,Ziegert EverEstate,"For a chance to receive a €2000 scholarship answer the question: What measures would affect the modernization, attractiveness, and livability of suburban areas to encourage sustainable growth? Answers may highlight, for example, the chances and challenges related to energy-efficient home building and alternative building materials, housing affordability and new construction, sustainable infrastructure, design and attractiveness of public areas, or social issues.

You may choose to submit your answer in the form of an essay or a PowerPoint presentation. Your essay should count no less than 1,000 words. Your PowerPoint presentation should count between 10-15 slides, including images, designs (sketches or other creative formats) and text. Applications may be submitted in English or German. Please email your applications to the address below no later than October 4.

If you choose to submit an essay, it should be based on this suggested structure: 1. Abstract: Summarize the problem and your resolution concisely. 2. Problem: Which problem are you trying to solve, and why is it important? 3. Solution: Outline your ideas and how they would play out in real life. 4. Validation: Which academic theses are supporting your idea(s)? 5. Optional: How could your idea(s) be funded?

All students currently enrolled at university, trainees currently enrolled in vocational training, and recent graduates who have graduated no earlier than 2020 are invited to partake in this merit-based competition. Please submit proof of your enrollment or graduation in your scholarship application, along with a quoted acknowledgment of our privacy statement (see Terms & Conditions below). The application should be one PDF email attachment and must include your age and email address.",Please click below for the full description and submission requirements.,€2000,Unrestricted,Unrestricted,October 4,Unrestricted,"€2,000 SCHOLARSHIP
The winner of the Future of Suburbia challenge will be presented with a €2,000 scholarship.

EXCLUSIVE INTERVIEW
We will feature the scholarship recipient for an exclusive interview on our blog and social media channels.

PRESENT TO OUR EXPERT JURY
The chosen winner will have the opportunity to present his or her idea to our expert panel.",1,https://www.internationalscholarships.com/scholarships/3612/
Save The Everglades Scholarship,Florida Realty Marketplace,"As realtors in the beautiful state of Florida, we take pride in our state's natural beauty. Throughout the years, we've all seen parts of Florida get lost to development and the constant growth of our population. Our goal is to preserve our state treasure by providing students interested in biology, conservation, ecology, and politics with a scholarship to prepare them to preserve the everglades and other national treasures.","This scholarship is for high school and college students planning to obtain a science or political science degree. One $500 award will be given to the person with the best combination of GPA, extracurricular involvement, and short responses to our questions. A winner will be selected on June 1st and notified via email.  Submissions must be made through the form found linked below.",500,United States,Unrestricted,June 1,United States,A check for a $500 scholarship.,1,https://www.internationalscholarships.com/scholarships/3636/
Kochhar & Co. Scholarship,Kochhar & Co. Chartered Professional Accountant,"Kochhar & Co. Chartered Professional Accountant was founded in 2011 by Biki Kochhar, a Chartered Professional Account, with a small office and a single staff member. Kochhar & Co. specializes in owner-managed corporations.

Eligibility:

To be eligible for the ""Kochhar & Co. Scholarship"" a student must:

1) Be attending college or university.

2) Be attending college or university on a full-time or part-time basis.

3) Have achieved a GPA of 2.5 or greater during their last academic year.

4) Submit an answer to the essay question no later than 11:59 PM EST on the day of the deadline.

*Note that you can be enrolled in any field of study.",,1000,Canada and United States,Unrestricted,March 31,Canada and United States,,1,https://www.internationalscholarships.com/scholarships/3654/
Abbott Painters Scholarship,Abbott Painters,"To be eligible for the ""Abbott Painters Scholarship"" a student must:

1) Be attending college or university on a full-time or part-time basis.

2) Have achieved a GPA of 2.75 or greater during their last academic year.

3) Submit an answer to the essay question no later than 11:59 PM EST on the day of the deadline.

4) Be a resident of Canada or the United States.

*Note that you can be enrolled in any field of study.",,500,Canada and United States,Unrestricted,April 30,Canada and United States,,1,https://www.internationalscholarships.com/scholarships/3653/
Odenza Vacations College Scholarship,Odenza Vacations,"To be considered eligible for the Odenza Vacations College Scholarship opportunity you must:

A) Be between the ages of 17 and 24.

B) Submit an answer to the essay question, which can be found on the application page, prior to the deadline.

C) Have a GPA of 2.5 or greater.

D) Be a resident of the United States or Canada.

The scholarship winner will be announced roughly 6 weeks after the deadline and will be posted on this website immediately after. All applications must be received by 11:59 pm ET on the day of the deadline. No late applications will be reviewed.",,500,Canada and United States,Unrestricted,May 1,Canada and United States,,1,https://www.internationalscholarships.com/scholarships/3651/
"Giorgio Rota Best Paper Award - Labor, value, robots",Centro Einaudi,"10th Giorgio Rota Best Paper Award 
Target: Young researchers (born after December 31st, 1987)
Deadline: March 9th.

The Centro Einaudi with the support of Fondazione CRT launches the 10th Giorgio Rota Best Paper Award.  Young researchers (born after December 31st, 1987) are invited to submit papers on the subject: Labor, value, robots. Deadline: March 9th. The selected papers will be announced by April 14th. 

The tenth edition of the award aims to stimulate outstanding contributions of scientific reflection on the challenges of industrial innovation - and automation mainly - on work and society, also considering the acceleration in labour transition fuelled by the investments for the post-pandemic recovery. 

Topics of interest include, but are not limited to:
- Innovation in production and its effects on work and society
- Emerging trends in work organisation and jobs
- Economic perspectives and value theories on robots and other labor-saving
- Machines, labour, and artificial intelligence: a paradigm shift?
- Future scenarios of the age of the artificial intelligence (or “second machine age”)
- The development of production worldwide
- Public policies and practical solutions to manage the transition
- Contemporary production trends and social dynamics (inequalities, tensions)

The authors of the three best papers will be awarded a prize of 1.500 Euros (gross) per paper (1 author) and 2.000 Euros (gross) for co-authored paper (2 or more) and they will be invited to present their work at the Giorgio Rota Conference that will be organised in May in Turin.",,3 Papers awarded 1.500 Euros gross or 2.000 Euros (co-authored),Unrestricted,Unrestricted,March 9th,Unrestricted,"Participation to the conference is mandatory in order to be awarded the prize. The Centro Einaudi will refund up to a maximum of 1.000 Euros for travel/accomodation expenses to Turin, depending on the place of origin (one author for each paper). Reviewed and formatted versions of the award-winning papers will be then published in Quaderni del Premio “Giorgio Rota”, an ISBN working paper online series of the Centro Einaudi.",1,https://www.internationalscholarships.com/scholarships/3637/
Bernadette E Schmitt Grant,American Historical Association,For advancement of historical knowledge.,,"$1,000",United States,Unrestricted,September 17,United States,"Travel, living expenses, research expenses, stipend",Variable,https://www.internationalscholarships.com/scholarships/229/
American Institute Of Architects/ AHA Fellowship In Health Facilities Design,American Institute of Architects,"Award for scholars who have received their professional degree, or are in their final year.",,Variable,Unrestricted,United States,January 31,Unrestricted,,Variable,https://www.internationalscholarships.com/scholarships/234/
Angarika H. Dharmapala Award,Schiller International University,20 one-third tuition awards valid for two semesters and is available to selected students from Sri Lanka possessing a good academic record. This is for students who come to Schiller International University.,For any campus at Schiller International University.,One third of tuition,"France, Germany, Spain, Switzerland, United Kingdom and United States",Sri Lanka,Unrestricted,"France, Germany, Spain, Switzerland, United Kingdom and United States",Tuition only,20,https://www.internationalscholarships.com/scholarships/1483/
American Society For Enology And Viticulture,American Society for Enology and Viticulture,"The American Society for Enology and Viticulture annually awards numerous scholarships to students pursuing a degree in enology, viticulture, or in a curriculum emphasizing a science basic to the wine and grape industry.",,Variable,Unrestricted,Unrestricted,March 1,Unrestricted,School fees,1,https://www.internationalscholarships.com/scholarships/449/
Amity Institute Internships,Amity Institute,The Amity Program provides young people from around the world with the opportunity to volunteer in language education and represent their country in the U.S.,,Variable,United States,Unrestricted,Unrestricted,United States,"Tuition, living expenses, stipend",250,https://www.internationalscholarships.com/scholarships/200/
CollegeWeekLive Scholarship Opportunities,CollegeWeekLive,"CollegeWeekLive is giving awarding scholarships just for viewing and visiting US colleges online.  Winning is easy - all you need to do is login to at CollegeWeekLive.com and visit 5 colleges that interest you. One lucky winner will be awarded a $5,000 scholarship and many other winners may find the college of their dreams.  Click the link below for more information","1.The CollegeWeekLive Monthly $5,000 Scholarship is open to both U.S. and non-U.S. students. Applicants must enroll no later than the fall of 2019 in an accredited post-secondary institution of higher learning (college, university or trade school) that is a CollegeWeekLive member at the time of the awarding of the scholarship. Applicants are eligible to win only if they register online, login to CollegeWeekLive between the 1st and last day of the month, and visit 5 colleges (go to their page) to be considered in the month's scholarship drawing. 
HOW TO ENTER: There are two requirements for entering this scholarship program: 
2.a. Apply online by registering on the Sponsor's website. Limit one (1) Application per person. Application includes complete name, contact, and high school information as required on the CollegeWeekLive registration form. 
2.b. Additionally, applicants must login and participate in a CollegeWeekLive virtual event held between the first and last day of the month by no later than the last day of any given month at 11:59 PM EST to be eligible for that month's scholarship. Participation requires visiting at least 5 college pages. All Applications become the property of the Sponsor and will not be returned. Sponsor assumes no responsibility for lost, late, misdirected, or unintelligible entries. By submitting an Application, you will be registered to attend CollegeWeekLive By applying to this scholarship program, you fully and unconditionally accept and agree to these Official Rules and the decisions of the Sponsor, which are final and binding.
3. SELECTION OF POTENTIAL WINNERS. Sponsor is looking for eligible Applicants who follow directions and submit applications that meet the qualifying criteria. On or about the 10th day of the following month, one (1) potential winner based on the eligibility criteria will be selected via random draw. Sponsor will select one (1) potential Prize Winner. The potential winner will be notified by e-mail, at which time he/she will be required to sign further documentation as explained below. Sponsor shall have no liability for any potential winner notification that is lost, intercepted or not received by the potential winner for any reason. Sponsor reserves the right to choose less than one Prize Recipient if, in its sole discretion, it does not receive a sufficient number of eligible and qualified entries.","$5,000",Unrestricted,Unrestricted,Once a month,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/2163/
World Press Institute Fellowship,World Press Institute,"The fellowship provides immersion into the governance, politics, business, media, journalistic ethics and culture of the United States for experienced international journalists, through a demanding schedule of study, travel and interviews throughout the country.","• At least five (5) years full-time employment in print, broadcast, or online journalism.    • Must be currently employed as a non U.S. journalist working outside of the United States.    • Fluency in both written and spoken English.    • Potential for leadership",Variable,Unrestricted,United States,January 31,Unrestricted,"Travel, living expenses, housing, health insurance",10,https://www.internationalscholarships.com/scholarships/190/
British Marshall Scholarships,The British Council,"Established in 1953, the Marshall Scholarships offer top quality US students the opportunity to study, with full funding, at any British university for at least two years.",,"$25,000",United Kingdom,United States,October 9,United Kingdom,Please see website for more info.,40,https://www.internationalscholarships.com/scholarships/163/
Bridging Project,American Association of Teachers of Japanese,Funding from private foundations and major U.S. corporations has made it possible for ATJ to award from 45 to 90 scholarships annually to assist students with the travel and living expenses they will incur while studying abroad in Japan.,Applicants must be U.S. citizens or permanent residents and be enrolled in a college or university in the United States.,"$2,500 - $4,000",Japan,Unrestricted,April 3,Japan,"Travel, living expenses.",90,https://www.internationalscholarships.com/scholarships/162/
Bourse Fondation Kenza,Fondation Kenza - Institut de France,"The Kenza Foundation is supporting every year the studies abroad of two students in Arts and History of Art from four universities in Paris. Scholarship for each student is €5,000 for the academic year 2010/2011.","In order to be eligible, you have to meet the following criteria:  - You are a less than 28-year old citizen or a legal permanent resident or nationals of France as of 1st January 2010  - You are studying in 2009-2010 mainly in one of the four following institutions: Ecole du Louvre, University Paris IV and Paris I Sorbonne (History of Art), Ecole Nationale des Beaux Arts de Paris  - You are an undergraduate or graduate students enrolling for the first-time outside France for full-time graduate or undergraduate studies. PhD students, post-doctorate students and more generally students who receive a stipend from their university to study, are off-limits",5000 euros,Unrestricted,France,December 15,Unrestricted,Tuition fees and non-tuition expenses,2,https://www.internationalscholarships.com/scholarships/1675/
"Bernice And W A Heyde, Jr Undergraduate Award",Southeast Missouri State University,For undergraduate study.,,"$1,100",United States,Unrestricted,February,United States,Tuition,2,https://www.internationalscholarships.com/scholarships/382/
Brandeis University American Leadership Awards,Brandeis University-International Business School,American Leadership Awards recognize outstanding US citizens and residents with scholarships that offset part of tuition costs.,"Students must study in the MA or MBA International Program.  Programs focus on International Business, Economic Policy, and International Finance.",60 percent of tuition,United States,Unrestricted,February 15,United States,Scholarship applies only toward tuition fees.,15,https://www.internationalscholarships.com/scholarships/1096/
AISF Scholarship,Atsumi International Scholarship Foundation,Atsumi International Scholarship Foundation (AISF) offers scholarships to Ph.D. candidates enrolled in graduate schools located in the Kanto area of Japan.,Candidates must be fluent in Japanese and be in their final year of a Ph.D program.    Strong networking skills desirable.,"200,000 yen per month",Japan,Unrestricted,September 30,Japan,Monthly stipend for one year and strong staff support.,12,https://www.internationalscholarships.com/scholarships/97/
Brandeis University Global Leadership Award,Brandeis University-International Business School,Global Leadership Awards recognize outstanding candidates of other nationalities with scholarships that offset part of tuition costs at the Brandeis International Business School.,"Students must study in the MA or MBA International Program.  Programs focus on International Business, Economic Policy, and International Finance.",Up to 60 percent of tuition,United States,Unrestricted,February 15,United States,Scholarship applies only toward tuition fees.,15,https://www.internationalscholarships.com/scholarships/1095/
Canada Council Annual Assistance To Media Arts Production Organization Grants,Canada Council - Arts Awards Service,Grant for Canadian citizens.,,Variable,Unrestricted,Canada,Unrestricted,Unrestricted,Please see website for more information.,Variable,https://www.internationalscholarships.com/scholarships/70/
Canadian Northern Studies Polar Commission Scholarship,Canadian Northern Studies Trust,Award for Canadian citizens with preference given to those students programs show excellence in research in Polar regions and are willing to communicate results in a major national or Northern forum.,,"$10,000",Unrestricted,Canada,January 31,Unrestricted,Please see website for more information.,Variable,https://www.internationalscholarships.com/scholarships/53/
Canadian Home Economics Association (chea) Fellowship,Canadian Federation of University Women,"Must be studying one or more aspects in the field of Home Economics/Human Ecology/Family and Consumer Sciences, at the masters or doctoral level in Canada.","Home Economics/Human Ecology/Family and Consumer Sciences is a field of study which includes human development, human ecology, financial and resource management, consumerism, food science, human nutrition, family relations, human sexuality, clothing and textiles, architecture,  housing/shelter and aesthetics.","$6,000 Canadian Dollar",Canada,Canada,November 1,Canada,For post-graduate studies in home economics.,1,https://www.internationalscholarships.com/scholarships/1331/
