,getScholarshipId,getScholarshipTitle,getProviderId,getProviderName,getProviderLogoSquareCdn,getProviderIsUniversity,getDescriptionOfDestinationCountryRestrictions,getDescriptionOfBenefits,getDescriptionOfDeadline,getIsNotSpecifiedDeadline,getDescriptionOfProviderLocation,getScholarshipVirtualName,getEligibility,getSupportedCountry,getOverall,getLink
0,1711,Merit Scholarships,12217,Temple University,,True,United States,2000 USD,Not specified,True,"Philadelphia, United States",merit-scholarships,"The award requires excellent academic performance at previous institutions and future academic promise. Applicants are required to submit either GMAT or GRE test scores for scholarship consideration and must be planning to enroll in 12 credits per semester in their first academic year in a graduate degree program offered at Penn State Great Valley on a resident instruction basis.
Scholarship recipients must enroll in 12 credits in each of their first and second semesters in order to receive and maintain this scholarship.
The scholarship will be awarded over two semesters; disbursement of the award in the second semester will be conditional on the student maintaining at least a cumulative grade point average of 3.25/4.0 and completing a course load of 12 credits in each semester of the award.",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/1711/merit-scholarships.html
1,2061,MRS Resident Advisor Scholarship,1618,Monash University,,True,Australia,565 AUD,Not specified,True,"Clayton, Australia",mrs-resident-advisor-scholarship,"On the non-EU fee rate;
In the following for 2024-25:
1-year taught Masters programme (full time)
1 year of a PhD programme (full time)
From a non-EU/non-EEA country.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2061/mrs-resident-advisor-scholarship.html
2,9465,Scholarships for Citizens of Priority Countries/Target groups Enrolling in MASTER'S degree Study Programmes,350,Vytautas Magnus University,,True,United Kingdom,Various benefits,Not specified,True,"Kaunas, Lithuania",scholarships-for-citizens-of-priority-countriestarget-groups-enrolling-in-masters-degree-study-programmes,"apply for a University of Southampton course before you apply for the scholarship
have a course offer before the scholarship closing date
pay the overseas tuition fee on PGCert, PGDip, Foundation or PGR courses
on Distance Learning courses
with a partner institution 
at our campus in Malaysia
on continuing professional development (CPD) courses
undergraduate courses in the Faculty of Medicine and the School of Health Sciences 
only pre-sessional English – pre-sessional English students with an offer to study at undergraduate or postgraduate level can still apply ",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/9465/scholarships-for-citizens-of-priority-countriestarget-groups-enrolling-in-masters-degree-study-programmes.html
3,9290,Chevening Scholarships,248,University of Bedfordshire,,True,United Kingdom,Various benefits,Not specified,True,"Luton, United Kingdom",chevening-scholarships,"Open to applicants on all PAIS taught MA programmes, including the Double Degrees (Warwick year only).
Successful candidates must obtain an offer from the university before taking up the award.
Candidates may apply concurrently to other funding sources; however, successful candidates who receive major tuition funding elsewhere will be disqualified.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9290/chevening-scholarships.html
4,9103,British Chevening Scholarships,149,Cranfield University,,True,United Kingdom,Various benefits,Anytime,False,"Cranfield, United Kingdom",british-chevening-scholarships,"Have been granted humanitarian protection or limited leave to remain in the UK, be a dependant or partner of someone with humanitarian protection or limited leave to remain, or you or your parent/guardian or partner are an asylum seeker and have submitted a claim within the UK for refugee status and have not yet received a decision from the Home Office on that application.
Have applied for asylum on arrival in the UK, and before you have applied for a place at university.
Currently attend a school, college or community/voluntary group that will provide a reference in support of your application.
Hold an offer from the University of Sheffield to study an undergraduate or postgraduate taught course starting in September.
Be studying at degree level in the UK for the first time (applicable to undergraduate students only)",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/9103/british-chevening-scholarships.html
5,348,Bilateral/Great Wall/EU/AUN etc Programs,12155,Xi'an Jiaotong University,,True,China,Various benefits,01 Apr 2025,False,"Xi’an, China",bilateralgreat-walleuaun-etc-programs,"The student has a Grade Point Average (GPA) of 3.5 out of 4.0.
The student has a good knowledge of the English language, proven by one of the following situations:
an overall band score of minimum 7.0 on the IELTS test;
a minimum total score of 94 on a TOEFL test;
a C1 level of the Common European Framework of Reference;
a similar result in another official language test recognised by the University of Antwerp;
or an exemption provided by the Master programme's Selection Committee during the screening process.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/348/bilateralgreat-walleuaun-etc-programs.html
6,3267,Chinese Government Scholarship - Type B- Chinese University Program,11967,Beijing Normal University,,True,China,Various benefits,30 Apr 2025,False,"Beijing, China",chinese-government-scholarship-type-b-chinese-university-program,"Have refugee status in the UK, or have an active application for asylum in the UK (you will be required to provide documentation to demonstrate your status). Supporting documents should be uploaded to your MyGoldsmiths account.
Be holding an offer of study on an undergraduate or taught postgraduate degree at Goldsmiths.
You must be eligible to study in the UK. If you are on Immigration Bail, this must not have a condition prohibiting you from studying.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3267/chinese-government-scholarship-type-b-chinese-university-program.html
7,3017,Veteran's Benefits,11753,New York University,,True,United States,Various benefits,Not specified,True,"New York City, United States",veterans-benefits,Open to students from any country who will be studying for an MBA degree abroad at a university or business school.,225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3017/veterans-benefits.html
8,1899,Graduate students - Merit awards,11225,American University Washington DC,,True,United States,Various benefits,Not specified,True,"Washington, D. C., United States",graduate-students-merit-awards,All international students are automatically offered a full out-of-state tuition scholarship after they are fully admitted and choose to live in university housing. ,225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1899/graduate-students-merit-awards.html
9,3906,Ealing Trailfinders Rugby Scholarship,9881,Brunel University London,//storage-prtl-co.imgix.net/mp/5de0e90dce97.png,True,United Kingdom,Various benefits,01 Oct 2024,False,"Uxbridge, United Kingdom",ealing-trailfinders-rugby-scholarship,"This women scholarship for international students will be awarded for female students beginning their undergraduate, graduate, or post-graduate studies in the Fall semester.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/3906/ealing-trailfinders-rugby-scholarship.html
